Datetime,Pairing,Home,Draw,Away,League,Ratings Diff,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,BTTS Est,EVEN/ODD Est,Total Goals Est,Goal Diff
2024-04-13 00:30:00,Sportivo Trinidense - CS 2 de Mayo,2.3,3.25,2.6,PY1,-74.34,1.74,0.95,U,1,1X/12,GG,EVEN,2.62,0.79
2024-04-13 01:00:00,Internacional - EC Bahia,1.8,3.6,4.5,BR1,52.01,1.64,0.82,U,1,1X/12,NG,EVEN,2.64,0.82
2024-04-13 01:00:00,Union Espanola - Everton CD,2.55,3.25,2.65,CL1,-34.62,1.42,1.25,U,1,1X,GG,EVEN,2.55,0.17
2024-04-13 13:00:00,Cambridge United - Charlton Athletic,2.6,3.3,2.55,UK3,-84.4,1.35,1.06,U,2,1X,GG,EVEN,2.44,0.29
2024-04-13 13:00:00,Oxford United - Peterborough United,2.5,3.5,2.55,UK3,-66.4,1.6,1.5,U,1,1X,GG,ODD,3.12,0.1
2024-04-13 13:00:00,Derby County - Leyton Orient,1.53,4.1,5.75,UK3,161.1,1.92,1.37,O,2,1X,GG,ODD,3.3,0.55
2024-04-13 13:00:00,FC Aberdeen - FC Dundee,2.1,3.4,3.25,SC1,53.81,1.55,1.04,U,1,1X,GG,ODD,2.62,0.51
2024-04-13 13:00:00,Shrewsbury Town - Wycombe Wanderers,2.65,3.2,2.6,UK3,-61.97,1.23,0.84,U,X,1X,NG,EVEN,2.08,0.39
2024-04-13 14:00:00,Carlisle United - Blackpool FC,4.8,4.0,1.62,UK3,-265.1,1.05,2.1,O,2,2X/12,GG,EVEN,3.16,-1.05
2024-04-13 15:30:00,RCD Mallorca - Real Madrid,4.6,3.6,1.77,ES1,-301.85,1.26,1.52,U,1,2X,NG,EVEN,2.82,-0.26
2024-04-13 16:00:00,US Quevilly - AJ Auxerre,3.75,3.3,1.95,FR2,-143.85,0.78,1.22,O,2,2X,NG,ODD,2.16,-0.44
2024-04-13 19:45:00,Birmingham City - Coventry City,3.0,3.4,2.3,UK2,-146.27,1.1,1.24,O,1,2X,NG,EVEN,2.24,-0.14
2024-04-13 19:45:00,Hull City - Queens Park Rangers,2.1,3.3,3.6,UK2,27.42,1.12,0.86,U,X,1X,NG,EVEN,1.98,0.26
2024-04-13 19:45:00,Preston North End - Norwich City,3.0,3.25,2.37,UK2,-114.87,1.14,1.37,O,1,2X,GG,EVEN,2.37,-0.23
2024-04-13 19:45:00,Stevenage FC - Burton Albion,1.57,4.1,5.25,UK3,180.23,1.72,0.84,O,1,1X/12,NG,EVEN,2.52,0.88
2024-04-13 19:45:00,Ipswich Town - Middlesbrough FC,1.83,3.8,3.9,UK2,78.83,1.74,0.89,U,1,1X/12,NG,EVEN,2.67,0.85
2024-04-13 19:45:00,Cheltenham Town - Bristol Rovers,2.15,3.3,3.25,UK3,38.93,1.63,0.89,U,1,1X/12,GG,EVEN,2.53,0.74
2024-04-13 19:45:00,Sheffield Wednesday - Stoke City,2.6,3.1,2.8,UK2,-56.31,1.09,1.04,U,X,1X,NG,EVEN,2.22,0.05
2024-04-13 19:45:00,Bristol City - Huddersfield Town,2.25,3.25,3.3,UK2,28.43,1.16,0.89,U,X,1X,NG,EVEN,2.07,0.27
2024-04-13 19:45:00,Southampton FC - Watford FC,1.4,5.25,7.0,UK2,201.7,1.8,0.98,O,1,1X/12,GG,EVEN,3.11,0.82
2024-04-13 19:45:00,Millwall FC - Cardiff City,1.85,3.3,4.5,UK2,90.79,1.45,0.83,U,1,1X,NG,EVEN,2.31,0.62
2024-04-13 19:45:00,Ayr United - Arbroath FC,1.58,3.9,4.75,SC2,151.11,1.5,1.25,O,2,1X,GG,ODD,2.87,0.25
2024-04-13 20:00:00,Swansea City - Rotherham United,1.44,4.4,7.25,UK2,245.21,1.83,0.65,U,1,1X/12,NG,EVEN,2.47,1.18
2024-04-13 20:00:00,Leeds United - Blackburn Rovers,1.34,5.5,8.0,UK2,268.4,2.09,1.01,O,1,1X/12,GG,EVEN,3.2,1.08
2024-04-13 20:00:00,Atletico Madrid - Girona FC,2.05,3.6,3.4,ES1,12.25,1.58,1.04,O,X,1X,GG,EVEN,2.57,0.54
2024-04-13 20:00:00,West Bromwich Albion - Sunderland FC,1.85,3.6,4.1,UK2,83.58,1.47,1.11,O,2,1X,GG,ODD,2.64,0.36
2024-04-13 23:00:00,Corinthians - Atletico-MG,2.65,3.0,2.87,BR1,-75.36,1.12,1.16,U,1,2X,NG,ODD,2.25,-0.04
2024-04-14 00:00:00,Deportivo Pereira - Jaguares de Cordoba,1.62,3.5,5.25,CO1,107.06,1.46,0.85,U,1,1X,NG,ODD,2.16,0.61
2024-04-14 01:00:00,Penarol Montevideo - Danubio,1.63,3.5,5.0,UY1,101.23,2.03,0.72,U,1,1X/12,NG,EVEN,2.62,1.31
2024-04-14 01:00:00,Fluminense - CA Bragantino,2.05,3.4,3.5,BR1,9.7,1.25,0.74,U,1,1X,NG,ODD,1.96,0.51
2024-04-14 01:30:00,Sao Paulo - Fortaleza EC,1.9,3.4,4.2,BR1,59.44,1.61,0.9,U,1,1X/12,NG,ODD,2.49,0.71
2024-04-14 01:30:00,Athletico PR - Cuiaba,1.57,3.8,6.25,BR1,46.2,1.56,0.72,O,1,1X/12,NG,EVEN,2.37,0.84
2024-04-14 03:00:00,Atletico Junior - Envigado,1.37,4.5,7.25,CO1,138.26,1.66,0.7,O,1,1X/12,NG,EVEN,2.37,0.96
2024-04-14 12:00:00,US Sassuolo Calcio - AC Milan,4.6,4.0,1.7,IT1,-241.87,1.09,2.18,O,2,2X/12,GG,ODD,3.35,-1.09
2024-04-14 15:30:00,Burgos CF - Racing Santander,2.25,3.2,2.9,ES2,-37.0,1.22,1.26,U,2,2X,GG,ODD,2.46,-0.04
2024-04-14 16:00:00,Portimonense SC - Casa Pia AC,2.7,3.2,2.55,PT1,-60.4,1.36,0.81,O,1,1X,NG,EVEN,2.2,0.55
2024-04-14 18:00:00,Atletico GO - Flamengo,4.2,3.6,1.85,BR1,-210.19,1.11,1.66,O,1,2X,GG,EVEN,2.9,-0.55
2024-04-14 18:00:00,Vasco da Gama - Gremio Porto Alegre,2.2,3.25,3.3,BR1,-38.9,1.23,0.72,U,1,1X,NG,ODD,2.0,0.51
2024-04-14 18:00:00,IFK Värnamo - Malmö FF,8.0,5.25,1.34,SW1,-328.78,0.87,2.08,U,2,2X/12,NG,EVEN,3.17,-1.21
2024-04-14 18:00:00,Kalmar FF - IFK Göteborg,2.25,3.3,3.0,SW1,-28.22,1.19,0.99,U,X,1X,NG,EVEN,2.18,0.2
2024-04-14 18:10:00,Djurgardens IF - IK Sirius FK,1.57,4.2,5.0,SW1,156.05,1.78,1.09,U,1,1X/12,GG,ODD,2.82,0.69
2024-04-14 19:00:00,Aarhus GF - Bröndby IF,3.3,3.3,2.15,DK1,-116.87,0.83,1.52,O,2,2X/12,GG,ODD,2.42,-0.69
2024-04-14 19:45:00,Udinese Calcio - AS Roma,3.4,3.4,2.15,IT1,-142.42,1.04,1.71,O,2,2X/12,GG,ODD,2.82,-0.67
2024-04-14 20:00:00,Arsenal FC - Aston Villa,1.26,6.0,10.5,UK1,286.76,2.08,0.8,U,1,1X/12,NG,ODD,2.82,1.28
2024-04-14 20:00:00,Liverpool FC - Crystal Palace,1.23,6.75,11.0,UK1,316.68,2.65,0.86,O,1,1X/12,GG,ODD,3.51,1.79
